year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2017,Hyundai,Elantra,97628.0,Sedan,Automatic,FWD,blue,black,5,4,gasoline,15787,8.7,6.5,2.4,4.0,Inline,2
2019,Honda,Civic,102145.0,Compact,CVT,FWD,white,black,5,2,gasoline,25269,7.8,6.4,1.5,4.0,Inline,2
2018,BMW,3,80211.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,31295,10.2,7.2,2.4,4.0,Inline,2
2020,Hyundai,Elantra,35186.0,Sedan,Automatic,FWD,orange,black,5,4,gasoline,22839,10.0,7.65,2.4,4.0,Inline,2
2018,Audi,Q5,136000.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,19483,10.4,8.6,2.4,4.0,Inline,3
2017,Porsche,Cayenne,55863.0,SUV,Automatic,4X4,black,black,5,4,gasoline,56315,13.25,9.95,2.4,6.0,V-Engine,2
2023,Volvo,XC60,50.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,77746,10.8,8.7,2.0,4.0,Inline,2
2023,Alfa Romeo,Romeo,3682.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,70677,10.5,7.7,2.4,4.0,Inline,2
2022,Mercedes-Benz,A-Class,25619.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,50360,9.5,6.8,2.4,4.0,Inline,2
2015,Nissan,Micra,146000.0,Hatchback,Automatic,FWD,red,black,5,4,gasoline,10382,8.7,6.6,2.4,4.0,Inline,2
2012,Fisker,Karma,42000.0,Sedan,Automatic,RWD,black,black,5,4,hybrid,27072,10.8,8.7,2.4,4.0,Inline,3
2020,BMW,X5,27700.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,37697,11.7,9.1,3.0,4.0,V-Engine,3
2023,Mazda,CX-5,3251.0,SUV,Automatic,4X4,red,black,5,4,gasoline,18188,9.8,7.9,2.5,4.0,Inline,4
2023,Mazda,CX-5,100.0,SUV,Automatic,4X4,black,black,5,4,gasoline,30839,9.8,7.9,2.4,4.0,Inline,3
2019,Jaguar,F-Pace,36041.0,SUV,Automatic,4X4,white,black,5,4,gasoline,45397,10.7,8.8,2.4,4.0,Inline,2
2023,Jeep,Wrangler,22.0,SUV,Automatic,4X4,white,black,5,4,gasoline,70391,11.5,9.9,2.0,4.0,Inline,1
2017,BMW,M3,46252.0,Sedan,Manual,RWD,silver,black,5,4,gasoline,67212,13.7,9.1,2.4,6.0,Inline,2
2023,Dodge,Charger,0.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,58948,14.7,9.4,5.7,8.0,V-Engine,2
2017,Honda,Pilot,130000.0,SUV,Automatic,4X4,other,black,5,4,gasoline,11139,13.0,9.3,2.4,6.0,V-Engine,4
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,metallic,black,5,4,gasoline,66037,12.9,11.5,2.7,4.0,Other,2
2017,Audi,A3,57983.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,23956,10.8,8.7,2.4,4.0,Inline,2
2014,Hyundai,Santa,90.0,SUV,Automatic,4X4,red,black,5,4,gasoline,9684,12.4,9.4,2.4,4.0,Inline,3
2023,Honda,Civic,665.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,27996,7.8,6.3,2.0,4.0,Other,3
2018,Dodge,Durango,79530.0,SUV,Automatic,4X4,black,black,7,4,gasoline,43765,12.7,9.6,3.6,4.0,Other,1
2023,Chevrolet,SILVERADO,10.0,Truck,Automatic,4X4,white,black,5,4,diesel,60831,10.8,8.7,6.6,8.0,V-Engine,3
2019,Audi,Q5,46054.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40780,10.9,8.7,2.4,4.0,Inline,1
2014,Ford,Mustang,79000.0,Coupe,Manual,RWD,blue,black,5,2,gasoline,22233,10.8,8.7,2.4,4.0,Inline,2
2021,Audi,Q7,89389.0,SUV,Automatic,4X4,white,black,7,4,hybrid,40763,13.8,11.4,2.4,6.0,V-Engine,3
2020,Mercedes-Benz,S560,31541.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,61202,13.5,8.6,2.4,8.0,Inline,3
2023,Volvo,XC60,182.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,75259,10.8,8.7,2.0,4.0,Inline,2
2021,Porsche,Taycan,10800.0,Sedan,Automatic,4X4,other,black,5,4,electric,157134,0.0,8.7,0.0,0.0,Electric,2
2016,Ford,Escape,153030.0,SUV,Automatic,4X4,white,black,5,4,gasoline,17934,11.4,8.4,2.0,4.0,Inline,1
2015,Nissan,Micra,164298.0,Hatchback,Automatic,FWD,other,black,5,4,gasoline,10451,8.7,6.6,1.6,4.0,Inline,2
2023,Ford,Edge,250.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,37052,11.5,8.4,2.0,4.0,Inline,3
2008,MINI,COOPER,127131.0,Hatchback,Automatic,FWD,black,black,5,4,gasoline,4003,7.7,5.7,2.4,4.0,Inline,3
2017,Honda,Pilot,119689.0,SUV,Automatic,4X4,white,black,5,4,gasoline,20434,12.4,9.3,3.5,6.0,V-Engine,3
2023,Mitsubishi,Outlander,6658.0,SUV,Automatic,4X4,silver,black,5,4,hybrid,57481,9.2,8.7,2.4,4.0,Inline,2
2018,BMW,X5,46347.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25849,13.0,9.8,3.0,6.0,Inline,3
2013,Audi,S7,153000.0,Sedan,Automatic,4X4,gray,black,4,4,gasoline,33091,10.8,8.7,2.4,8.0,Inline,1
2020,Acura,TLX,52337.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39870,12.0,8.2,2.4,6.0,V-Engine,2
2017,Ford,Escape,91872.0,SUV,Automatic,4X4,black,black,5,4,gasoline,13144,10.8,8.7,2.4,4.0,Inline,3
2008,BMW,5,99912.0,Sedan,Automatic,RWD,white,red,5,4,gasoline,19078,19.9,11.9,2.4,10.0,Inline,3
2019,Rolls-Royce,Wraith,9800.0,Coupe,Automatic,RWD,black,black,4,2,gasoline,483810,19.6,13.1,2.4,12.0,Inline,2
2023,Jeep,Wrangler,12.0,SUV,Automatic,4X4,white,black,5,4,gasoline,27155,10.8,8.7,3.6,6.0,V-Engine,4
2023,BMW,X3,90.0,SUV,Automatic,4X4,white,black,5,2,gasoline,69231,11.0,8.4,2.0,4.0,Inline,2
2022,Jeep,Cherokee,7140.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,53899,12.9,9.7,3.2,6.0,V-Engine,1
2018,Mercedes-Benz,CLA,79000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,31989,10.8,8.7,2.4,4.0,Inline,2
2019,Hyundai,Elantra,63495.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,20436,9.8,7.4,1.6,3.0,V-Engine,2
2016,Volkswagen,Jetta,108155.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,17196,9.4,6.5,2.4,4.0,Inline,2
2013,Honda,Civic,270000.0,Coupe,Manual,FWD,white,black,5,2,gasoline,7437,10.8,8.7,2.4,4.0,Inline,3
2019,Ford,Edge,70645.0,SUV,Automatic,4X4,black,black,5,4,gasoline,32386,12.6,9.2,2.4,6.0,V-Engine,2
2019,Ferrari,488,7202.0,Coupe,Automatic,RWD,red,black,2,2,gasoline,810613,10.8,8.7,2.4,4.0,Inline,2
2023,Mazda,CX-9,100.0,SUV,Automatic,4X4,red,black,5,4,gasoline,23153,11.6,9.1,2.5,4.0,Inline,4
2023,Ford,F-150,250.0,Truck,Automatic,4X4,gray,black,5,4,gasoline,76714,13.5,10.2,3.5,6.0,V-Engine,2
2019,Mercedes-Benz,E-Class,65857.0,Coupe,Automatic,4X4,black,black,5,2,gasoline,75016,10.8,8.7,2.4,6.0,Inline,1
2023,Infiniti,Q50,90.0,Sedan,Automatic,4X4,blue,gray,5,4,gasoline,68464,12.5,8.7,2.4,6.0,V-Engine,2
2018,Mercedes-Benz,GLE,70428.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25260,13.5,10.3,3.0,6.0,V-Engine,3
2023,GMC,Terrain,10.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,31834,9.9,8.3,1.5,4.0,Other,3
2017,McLaren,570GT,38665.0,Coupe,Automatic,RWD,black,black,2,2,gasoline,205728,14.7,10.2,3.8,8.0,V-Engine,1
2023,Ford,F-150,90.0,Truck,Automatic,4X4,black,black,5,4,hybrid,55355,10.8,8.7,2.4,6.0,V-Engine,3
2020,Volkswagen,Jetta,51200.0,Sedan,Manual,FWD,silver,black,5,4,gasoline,27886,7.9,5.9,1.4,4.0,Other,2
2018,BMW,3,72000.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,30991,10.2,7.1,2.4,4.0,Inline,2
2023,Jeep,Wrangler,250.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,62591,11.5,10.05,2.0,4.0,V-Engine,2
2017,Dodge,RAM,308000.0,Truck,Automatic,4X4,black,black,5,4,gasoline,22314,10.8,8.7,2.4,4.0,Inline,2
2023,Ford,Bronco,10.0,SUV,Automatic,4X4,other,black,5,4,gasoline,50810,9.3,8.4,2.4,3.0,Inline,1
2023,Jeep,Wrangler,13.0,SUV,Automatic,4X4,white,black,5,4,gasoline,70773,11.5,10.0,2.0,4.0,Inline,1
2016,BMW,X3,158000.0,SUV,Automatic,4X4,gray,black,5,4,diesel,6399,8.6,6.9,2.4,4.0,Inline,4
2010,Hyundai,Santa,170960.0,SUV,Automatic,4X4,silver,gray,5,4,gasoline,9988,10.5,7.7,2.4,6.0,V-Engine,1
2019,Dodge,Ram,142230.0,Truck,Automatic,4X4,black,black,5,4,gasoline,34092,10.8,8.7,2.4,4.0,Inline,3
2022,Dodge,Durango,126.0,SUV,Automatic,4X4,black,black,5,4,gasoline,69677,16.7,10.9,5.7,8.0,V-Engine,1
2017,Chrysler,Pacifica,92363.0,Van,Automatic,FWD,white,black,7,4,gasoline,30167,12.4,8.4,2.4,6.0,Inline,2
2023,Volkswagen,Atlas,1500.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,60475,13.1,10.0,2.4,6.0,V-Engine,2
2019,Porsche,Cayenne,53053.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,72153,12.5,10.0,2.4,6.0,V-Engine,2
2017,Nissan,Rogue,196117.0,SUV,Automatic,4X4,brown,black,5,4,gasoline,20638,10.8,8.7,2.4,4.0,Inline,2
2023,Audi,Q5,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,61585,10.8,8.7,2.0,4.0,Inline,2
2023,Maserati,Levante,90.0,SUV,Automatic,4X4,black,black,5,2,gasoline,138412,14.7,10.7,3.0,6.0,Inline,2
2020,Honda,CR-V,66574.0,SUV,CVT,4X4,gray,black,5,4,gasoline,37459,8.7,7.2,2.4,4.0,Inline,2
2023,Cadillac,XT4,10.0,SUV,Automatic,4X4,black,black,5,4,gasoline,18051,10.9,8.2,2.4,4.0,Inline,4
2020,Cadillac,CT5,43646.0,Sedan,Automatic,4X4,metallic,black,5,4,gasoline,27344,10.7,7.5,2.4,4.0,Inline,3
2023,Jeep,Wrangler,8.0,SUV,Automatic,4X4,black,black,5,4,gasoline,27823,10.8,8.7,2.0,4.0,Inline,4
2023,Nissan,Frontier,90.0,Truck,Automatic,4X4,metallic,black,5,4,gasoline,51004,13.9,10.7,2.4,6.0,V-Engine,2
2020,Jeep,Grand,41070.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,29952,12.7,9.6,3.6,6.0,Inline,3
2016,Honda,Civic,221999.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,19875,7.8,5.8,2.0,4.0,Other,2
2003,Cadillac,Escalade,191000.0,Truck,Automatic,4X4,silver,gray,5,4,gasoline,9905,19.1,13.2,2.4,8.0,Inline,2
2023,Volvo,V60,50.0,Wagon,Automatic,4X4,white,gray,5,4,gasoline,71628,10.8,8.7,2.0,4.0,Inline,2
2020,Ford,Fusion,68216.0,Sedan,CVT,FWD,silver,black,5,4,hybrid,29433,5.5,5.7,2.0,4.0,Hybrid,2
2021,Mazda,CX-5,30463.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,24783,9.8,7.9,2.4,4.0,Inline,3
2021,Jeep,WRANGLER,35451.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,50501,12.65,10.0,2.0,4.0,Inline,1
2022,Ford,Expedition,74.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42883,14.7,11.2,3.5,6.0,V-Engine,4
2016,Jeep,Cherokee,123640.0,SUV,Automatic,4X4,black,black,5,4,gasoline,14642,12.2,9.0,2.4,6.0,V-Engine,3
2023,Ford,Mustang,0.0,SUV,Automatic,4X4,black,black,5,4,gasoline,78294,10.8,8.7,2.4,4.0,Inline,1
2022,Ford,Mustang,10.0,Coupe,Manual,4X4,black,black,5,2,gasoline,28591,15.75,9.9,2.4,8.0,Inline,4
2023,Tesla,Model,2014.0,Sedan,Automatic,RWD,silver,black,5,4,electric,74747,0.0,8.7,2.4,0.0,Electric,2
2009,Maserati,GranTurismo,44000.0,Coupe,Automatic,RWD,gray,brown,4,2,gasoline,23412,19.6,12.4,2.4,8.0,V-Engine,3
2019,Audi,e-tron,54521.0,SUV,Automatic,4X4,black,black,5,4,electric,66761,0.0,8.7,0.0,0.0,Electric,2
2018,Honda,Pilot,140000.0,SUV,Automatic,4X4,black,beige,7,4,gasoline,31673,12.4,9.3,2.4,6.0,Inline,2
2008,BMW,M3,106183.0,Convertible,Manual,RWD,red,beige,4,2,gasoline,42406,15.7,10.1,2.4,8.0,Inline,1
2019,Nissan,Versa,48267.0,Hatchback,Automatic,FWD,white,black,5,4,gasoline,18579,8.1,6.4,2.4,4.0,Inline,2
2017,BMW,3,156738.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,27390,10.5,7.4,2.4,4.0,Inline,2
2021,Alfa Romeo,Romeo,10963.0,Sedan,Automatic,4X4,red,black,5,4,gasoline,57411,10.5,7.7,2.4,4.0,Inline,2
2023,Volvo,XC40,50.0,SUV,Automatic,4X4,white,gray,5,4,gasoline,20269,10.8,8.7,2.0,4.0,Inline,4
2014,Ford,Focus,120570.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,11516,10.8,8.7,2.4,4.0,Inline,2
2022,Jeep,Grand,0.0,SUV,Automatic,4X4,black,black,5,4,electric,88295,0.0,8.7,2.4,0.0,Electric,1
2023,Mercedes-Benz,GLA250,90.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,35916,10.3,7.3,2.4,4.0,Inline,3
2023,Kia,Forte,150.0,Sedan,Automatic,FWD,blue,black,4,4,gasoline,19094,10.8,8.7,2.4,4.0,Inline,3
2016,Dodge,Grand,115598.0,Van,Automatic,FWD,silver,black,7,4,gasoline,15911,13.7,9.4,3.6,4.0,Other,2
2019,Ford,Escape,19500.0,SUV,Automatic,FWD,black,black,5,4,gasoline,16739,11.2,8.4,1.5,4.0,Other,3
1969,Chevrolet,Camaro,0.0,SUV,Automatic,RWD,yellow,black,5,2,gasoline,27542,10.8,8.7,2.4,4.0,Inline,4
2014,Cadillac,ATS,174000.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,13440,10.8,8.7,2.4,4.0,Inline,2
2018,BMW,X2,46989.0,SUV,Automatic,4X4,black,black,5,4,gasoline,37751,11.0,7.7,2.0,4.0,Inline,1
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,black,black,5,4,gasoline,28172,14.8,11.8,5.3,8.0,Inline,4
2019,Dodge,Durango,75581.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,38929,12.7,9.6,3.6,6.0,V-Engine,2
2023,GMC,Acadia,9.0,SUV,Automatic,4X4,white,black,5,2,gasoline,57461,12.6,9.2,3.6,6.0,Inline,2
2020,Infiniti,QX60,40482.0,SUV,Automatic,4X4,white,black,5,4,gasoline,22763,12.5,9.0,2.4,6.0,V-Engine,3
2019,Honda,CR-V,88859.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,21572,8.7,7.2,2.4,4.0,Inline,3
2018,Volkswagen,Tiguan,138738.0,SUV,Automatic,FWD,black,black,5,4,gasoline,30011,10.6,8.7,2.4,4.0,Inline,1
2016,Audi,A6,107463.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,28592,10.8,7.3,2.0,4.0,Other,1
2016,Hyundai,Tucson,100200.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,18573,11.0,9.0,2.4,4.0,Inline,2
2019,Porsche,Cayenne,51500.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,79625,10.8,8.7,2.4,4.0,Inline,1
2012,Mitsubishi,RVR,198000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,5623,8.6,6.6,2.4,4.0,Inline,3
2023,Mazda,Mazda3,100.0,Hatchback,Automatic,FWD,blue,black,5,4,gasoline,39504,8.649999999999999,6.65,2.0,4.0,Inline,1
2006,Honda,Accord,336788.0,Sedan,Automatic,FWD,black,black,5,4,hybrid,4756,10.8,8.7,2.4,4.0,Inline,2
2013,Dodge,Caravan,255715.0,Van,Automatic,4X4,white,black,5,4,gasoline,7601,10.8,8.7,2.4,4.0,Inline,2
2018,BMW,4,65170.0,Sedan,Automatic,4X4,orange,black,5,4,gasoline,36262,10.5,7.4,2.0,4.0,Other,2
2020,Ford,Escape,42107.0,SUV,Automatic,4X4,black,black,5,4,gasoline,31756,8.9,7.6,2.4,3.0,Inline,1
2015,Mazda,Mazda3,91531.0,Sedan,Automatic,FWD,gray,black,4,4,gasoline,8714,7.95,5.75,2.4,4.0,Inline,3
2023,Ford,F-150,20.0,Truck,Automatic,4X4,blue,blue,5,4,hybrid,55214,9.8,9.7,3.5,4.0,Hybrid,3
2022,Ford,Escape,11535.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,49359,9.0,7.6,2.4,3.0,Inline,1
2022,Ford,F-150,15.0,Truck,Automatic,4X4,black,black,5,4,gasoline,76912,13.5,10.2,3.5,6.0,V-Engine,1
1992,Jaguar,XJ6,140000.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,5974,10.8,8.7,2.4,4.0,Inline,2
2023,Ford,Bronco,57.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,46682,9.3,8.4,1.5,4.0,Other,2
2021,Kia,Forte5,58462.0,Hatchback,Automatic,FWD,orange,black,5,4,gasoline,25357,9.4,7.25,1.6,4.0,Inline,2
2022,Lamborghini,Urus,4242.0,SUV,Automatic,4X4,black,black,5,4,gasoline,417642,10.8,8.7,2.4,8.0,Inline,2
2018,Mercedes-Benz,GLE-Class,88956.0,SUV,Automatic,4X4,white,black,5,4,gasoline,44832,13.5,10.3,2.4,6.0,Inline,1
2019,Mercedes-Benz,G-Class,86872.0,SUV,Automatic,4X4,black,black,5,4,gasoline,205158,18.1,15.6,2.4,8.0,Inline,2
2021,Jeep,Wrangler,30231.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,39168,12.65,10.0,2.0,4.0,Inline,3
2016,BMW,X3,119988.0,SUV,Automatic,4X4,white,brown,5,4,diesel,13936,8.6,6.9,2.0,4.0,Inline,3
2018,Infiniti,Q60,22998.0,Coupe,Automatic,4X4,white,black,4,2,gasoline,22790,12.3,8.6,2.4,6.0,V-Engine,3
2016,BMW,3,185298.0,Wagon,Automatic,4X4,white,black,5,4,diesel,28285,7.7,5.7,2.4,4.0,Inline,1
2020,Audi,RS,32500.0,SUV,Automatic,4X4,black,black,5,4,hybrid,160611,10.8,8.7,2.4,8.0,Inline,1
2022,Honda,Accord,4403.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,29128,10.4,7.4,2.4,4.0,Inline,3
2017,Hyundai,Sonata,77811.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,17221,10.0,7.2,2.4,4.0,Inline,2
2011,Audi,A3,284351.0,Hatchback,Automatic,4X4,black,black,5,4,gasoline,5141,9.6,7.5,2.0,4.0,Other,3
2019,Honda,Accord,126927.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,12835,10.4,7.4,2.4,4.0,Inline,4
2020,Hyundai,Elantra,16013.0,Sedan,CVT,FWD,red,black,5,4,gasoline,24900,7.8,5.6,2.4,4.0,Inline,1
2023,Chevrolet,Equinox,100.0,SUV,Automatic,FWD,gray,black,5,4,gasoline,18192,8.9,7.7,1.5,4.0,Other,4
2019,Chevrolet,Cruze,116714.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,22270,8.0,5.9,1.4,4.0,Inline,2
2023,Mazda,Mazda3,100.0,Hatchback,Automatic,FWD,blue,black,5,4,gasoline,26116,8.649999999999999,6.65,2.4,4.0,Inline,3
